arg216633_arg244432	o8_1,o8_4,o7_1	if students so not have a physical education class then the obesity rate will go even higher than what it is now. that onw of the reason why also physical education reduce heart failure, improved physical fitness, weight reduction, self dicipline, and also stress reduction.	I HATE P.E. I have to run so much and I hate it soooo much!!!!!
arg216633_arg582041	o8_1,o6_1,o6_3,o7_1	It must not be mandatory, but at least a requirements but not more often. How would you consider PE if the child is not so well? And if possible separate boys from girls, for boys assign some good games of physical education activity to them, same thing with girls, give them games for girls ideas.	I HATE P.E. I have to run so much and I hate it soooo much!!!!!
arg485419_arg216633	o8_1,o7_1	Sport should not be compulsaryy!!!!!!!!!!!!!!! <br/> So man kids get bullied in pe because they are fatter then others or more unfit! Bullies pick there victims each day in pe so all u guys on the affirmative team are WRONG!	I HATE P.E. I have to run so much and I hate it soooo much!!!!!
arg202606_arg216633	o8_1,o6_1,o7_1	I'm in school and P.E. just make kids unhappy,a lot of people get sad because they are chosen last,they can't play for example I suck at P.E. class I hate I'm always the last to be chosen for the teams and it's not cool and it's not just obese kids there are many obese adults who did P.E. and didn't helped in anything	I HATE P.E. I have to run so much and I hate it soooo much!!!!!
arg312577_arg216633	o8_1,o7_1	P.E. should be optional in 8th grade. If students want to participate, then so be it. However, in 8th grade students have a lot going on. That time may be used more beneficially by studying.	I HATE P.E. I have to run so much and I hate it soooo much!!!!!
arg263839_arg201958	o8_1,o9_2,o5_1,o6_1,o7_3	No. PE has been around since more than 200 years ago. Today, the PE is barely taking any effect, mainly because of kids stuffing themselves up with junk food. We should come up with better ways to prevent obesity, such as a healthy eating campaign.	a PE teachers job must be really easy. they dont need to learn anything, all they have to do is yell at kids for an hour.
arg96567_arg245105	o8_1,o9_4,o7_1,o7_3	i'm not pleased with the idea to increase P.E. requirement. First, i thinks that it is not up to the college to require students to exercise. i believes that students have the responsible to choose whether or not to work out. Also, i says that there shouldn't be any P.E. requirement in the college. According to me, the college is a place to train our brain not our body. i adds that if students do need exercise, they can exercise on their own as me. i goes hiking and plays basketball in my neighborhood.	The minimum length for an argument is 50 characters. The purpose of this restriction is to cut down on the amount of dumb jokes, so we can keep the quality of debate and discourse as high as possible.
arg54267_arg96566	o8_1,o9_2,o5_2,o6_3	Physical education does absolutely nothing for the children's health and/or lifestyle. Let me describe my PE experience. <br/> Throughout my public education career, PE has been mandatory for each year. This has involved barely moving, standing talking with friends, half-hearted volleyball/dodgeball, yearly physical fitness tests that don't require effort, DDR, bouncing on fitness balls, and, most recently at my arts high school, watching sports documentaries and playing Wii Sports. <br/> Unless public education is reformed, health classes can teach children what they need to know about fitness and nutrition, because PE classes are severely lacking.	it is simply too tiring. simply. so that is the reason why physical education should not be compulsory.The minimum length for an argument is 50 characters. The purpose of this restriction is to cut down on the amount of dumb jokes, so we can keep the quality of debate and discourse as high as possible.
arg312577_arg96566	o8_1,o9_3,o5_2,o6_1,o6_3,o7_3	P.E. should be optional in 8th grade. If students want to participate, then so be it. However, in 8th grade students have a lot going on. That time may be used more beneficially by studying.	it is simply too tiring. simply. so that is the reason why physical education should not be compulsory.The minimum length for an argument is 50 characters. The purpose of this restriction is to cut down on the amount of dumb jokes, so we can keep the quality of debate and discourse as high as possible.
arg202607_arg245105	o8_1,o7_2	i'm not pleased with the idea to increase P.E. requirement. First, i thinks that it is not up to the college to require students to exercise. i believes that students have the responsible to choose whether or not to work out. Also, i says that there shouldn't be any P.E. requirement in the college. According to me, the college is a place to train our brain not our body. i adds that if students do need exercise, they can exercise on their own as me. i goes hiking and plays basketball in my neighborhood.	Besides just a few people apply physical exercises in their life's!
arg201958_arg407143	o9_2,o5_1,o7_3	Core classes are more important. Kids should be more focused on learning, and the competitiveness can cause bullying.	a PE teachers job must be really easy. they dont need to learn anything, all they have to do is yell at kids for an hour.
arg312577_arg201958	o9_3,o7_1,o7_3	P.E. should be optional in 8th grade. If students want to participate, then so be it. However, in 8th grade students have a lot going on. That time may be used more beneficially by studying.	a PE teachers job must be really easy. they dont need to learn anything, all they have to do is yell at kids for an hour.
arg202607_arg625211	o8_1,o6_2	Well Well Well. I had muscle cramps all over when I am doing intensive exercises like doing a long run. You know, people are all made different, some maybe have longer stamina and are suitable for long distance runs and more intensive exercises. In contrast, people like me have lesser stamina and only suitable for less intensive exercises. Really, why force everyone to be the same?	Besides just a few people apply physical exercises in their life's!
arg216633_arg407143	o8_1,o5_2,o7_1	Core classes are more important. Kids should be more focused on learning, and the competitiveness can cause bullying.	I HATE P.E. I have to run so much and I hate it soooo much!!!!!
arg263839_arg216634	o7_2	No. PE has been around since more than 200 years ago. Today, the PE is barely taking any effect, mainly because of kids stuffing themselves up with junk food. We should come up with better ways to prevent obesity, such as a healthy eating campaign.	P.E doesn't help fat kids the fat kids just eat too much or they are growing and eventually they will be normal.
arg351382_arg582041	o8_1,o7_4	It must not be mandatory, but at least a requirements but not more often. How would you consider PE if the child is not so well? And if possible separate boys from girls, for boys assign some good games of physical education activity to them, same thing with girls, give them games for girls ideas.	Physical Ed causes many problems. Also, we shouldnt need Phys Ed to graduate school.
arg96567_arg283063	o9_2,o5_1,o7_3	NO WAY! There are many people in my school who are fat and two periods of pe a week and afterschool sports has NOT changed any of them a tiny bit.	The minimum length for an argument is 50 characters. The purpose of this restriction is to cut down on the amount of dumb jokes, so we can keep the quality of debate and discourse as high as possible.
arg96567_arg485419	o9_2,o7_3	Sport should not be compulsaryy!!!!!!!!!!!!!!! <br/> So man kids get bullied in pe because they are fatter then others or more unfit! Bullies pick there victims each day in pe so all u guys on the affirmative team are WRONG!	The minimum length for an argument is 50 characters. The purpose of this restriction is to cut down on the amount of dumb jokes, so we can keep the quality of debate and discourse as high as possible.
arg351382_arg202606	o8_1,o6_1	I'm in school and P.E. just make kids unhappy,a lot of people get sad because they are chosen last,they can't play for example I suck at P.E. class I hate I'm always the last to be chosen for the teams and it's not cool and it's not just obese kids there are many obese adults who did P.E. and didn't helped in anything	Physical Ed causes many problems. Also, we shouldnt need Phys Ed to graduate school.
arg582041_arg201958	o9_2,o6_1,o6_2,o7_1,o7_3	It must not be mandatory, but at least a requirements but not more often. How would you consider PE if the child is not so well? And if possible separate boys from girls, for boys assign some good games of physical education activity to them, same thing with girls, give them games for girls ideas.	a PE teachers job must be really easy. they dont need to learn anything, all they have to do is yell at kids for an hour.
arg216633_arg625211	o8_1,o7_1	Well Well Well. I had muscle cramps all over when I am doing intensive exercises like doing a long run. You know, people are all made different, some maybe have longer stamina and are suitable for long distance runs and more intensive exercises. In contrast, people like me have lesser stamina and only suitable for less intensive exercises. Really, why force everyone to be the same?	I HATE P.E. I have to run so much and I hate it soooo much!!!!!
arg54267_arg201958	o8_1,o5_1,o5_2,o6_1	Physical education does absolutely nothing for the children's health and/or lifestyle. Let me describe my PE experience. <br/> Throughout my public education career, PE has been mandatory for each year. This has involved barely moving, standing talking with friends, half-hearted volleyball/dodgeball, yearly physical fitness tests that don't require effort, DDR, bouncing on fitness balls, and, most recently at my arts high school, watching sports documentaries and playing Wii Sports. <br/> Unless public education is reformed, health classes can teach children what they need to know about fitness and nutrition, because PE classes are severely lacking.	a PE teachers job must be really easy. they dont need to learn anything, all they have to do is yell at kids for an hour.
arg202607_arg39274	o8_1,o8_4,o7_4	while yes phys. ed. classes should still be in high schools they shouldnt be mandatory(especially not all 4 years of HS). maybe just having PE be an optional class and having one year be a mandatory thing instead of a continuous PE class. in lower grades, yes it should be mandatory because little kids are more likely to gain and lose weight in weird patterns. That Is All.	Besides just a few people apply physical exercises in their life's!
arg337014_arg96567	o8_1,o8_4,o7_1	Expensive, embarrassing for some, unfair for AP students that aren't in varsity sports because varsity athletes can waive the class.	The minimum length for an argument is 50 characters. The purpose of this restriction is to cut down on the amount of dumb jokes, so we can keep the quality of debate and discourse as high as possible.
arg271353_arg202607	o8_1,o9_4	OK no and yes I think p.e should be education which is teaching students how to eat right and live a healthy life style not making a fat kid run 10 laps around a track but showing them that eating right and exercise can BE FUN not having an obese child being bully because they can't run as fast as someone else. That is what physical education could be real EDUCATION. Students should not feel bad if they can't run a 5k or do 20 push ups	Besides just a few people apply physical exercises in their life's!
